method_id,dataset_id,track,n_failures
CaSee,ov_izar_tirosh,A,20
CaSee,ov_izar_tirosh,C,20
CaSee,ov_izar_tirosh,E,80
DeepScena,mm_ledergor,D,5
DeepScena,ov_izar_tirosh,A,20
DeepScena,ov_izar_tirosh,C,20
DeepScena,ov_izar_tirosh,E,80
FiRE,mm_ledergor,D,10
RareQ,bcc_yost,B,1
RareQ,crc_lee,A,1
RareQ,crc_lee,E,4
RareQ,ov_izar_tirosh,B,1
cellsius,mm_ledergor,D,4
scCAD,ov_izar_tirosh,A,20
scCAD,ov_izar_tirosh,C,20
scCAD,ov_izar_tirosh,E,80
scMalignantFinder,bcc_yost,B,12
scMalignantFinder,breast_ctc_szczerba,B,12
scMalignantFinder,crc_lee,B,12
scMalignantFinder,hcc_wei,B,12
scMalignantFinder,hnscc_puram,A,20
scMalignantFinder,hnscc_puram,B,12
scMalignantFinder,hnscc_puram,C,20
scMalignantFinder,hnscc_puram,E,80
scMalignantFinder,luad_laughney,B,12
scMalignantFinder,mm_ledergor,B,12
scMalignantFinder,ov_izar_tirosh,B,12
scMalignantFinder,pdac_peng,B,12
scMalignantFinder,rcc_multi,B,12
