method_id,n_units,mean_gap,median_gap,std_gap,pct_gap_lt_0_1,pct_gap_lt_0_3,pct_gap_lt_0_5
CaSee,160,0.4675793909721156,0.36224487613268247,0.3294901701976984,11.25,38.125,61.25000000000001
expr_threshold,160,0.5478957267964297,0.6622875917129635,0.4796553226105667,15.625,24.375,40.625
FiRE,160,0.5237598125174845,0.6720981842423913,0.46630547994244104,13.750000000000002,28.125,35.625
cellsius,160,0.6384465909990189,0.7164246999317906,0.42888283846979264,12.5,15.0,26.875
scMalignantFinder,160,0.589457054066069,0.7513161073029093,0.4381543928718923,18.125,25.0,31.874999999999996
RareQ,160,0.6526008408911566,0.7667767651431204,0.43359689181665034,13.750000000000002,15.0,22.5
scCAD,140,0.7728471264588191,0.8696726893156037,0.27004299289312006,6.428571428571428,7.857142857142857,14.285714285714285
random_baseline,160,0.8715119259324414,0.9697944889664036,0.29307155462867934,10.0,10.0,10.0
DeepScena,140,0.9698329138560732,0.9811817867246324,0.03112356916336374,0.0,0.0,0.0
