method_id,n_units,ap_vs_log10_prevalence_slope,ap_vs_log10_prevalence_p,nap_vs_log10_prevalence_slope,nap_vs_log10_prevalence_p,mean_ap_t1,mean_ap_t2,mean_ap_t3,mean_ap_t4,mean_nap
cellsius,160,0.23969201793901668,2.776503794330948e-24,0.2200163536264203,1.7802299169555857e-20,0.40736952709826485,0.517904752350163,0.14994782756833125,0.006143396010185489,0.25359843411252736
RareQ,160,0.23065848396309346,1.162704935768911e-22,0.21182591839652715,2.7719278456219796e-19,0.46084791238049405,0.41246105082741247,0.1453052419163719,0.006134298334115492,0.23963500328658327
CaSee,160,0.1924176312646844,1.2269321961670104e-10,0.17910967622698346,3.783701325914428e-09,0.6044056038586457,0.5426845252093658,0.39276859246928486,0.22497558159726178,0.4292766056950308
scMalignantFinder,160,0.18715518940156903,4.453113153264398e-11,0.16963322697324829,4.136950489053708e-09,0.4997292521201314,0.39080784316019723,0.272431722396001,0.1143548330824152,0.30386561020602737
scCAD,140,0.15364925489097683,1.2716333419446033e-08,0.12850701723950986,3.2649062713054446e-06,0.26166976732294545,0.39212145075647203,0.24211885685367587,0.008670992308035277,0.20535285410344709
FiRE,160,0.14276256976024826,9.98432910860819e-07,0.12621444357069067,1.9958668018629455e-05,0.5222022061691387,0.45525125887193524,0.3133277653046374,0.2493313866073712,0.37050315010002155
expr_threshold,160,0.14216962835682123,3.879437625993844e-06,0.12474871613212764,6.712772455751835e-05,0.5014467087053414,0.4306857831690306,0.3065293975879025,0.20490707037502695,0.34562798599924643
DeepScena,140,0.03268859095867285,2.075086991965446e-42,0.00015850421821088113,0.7389356228723002,0.07567773529926887,0.032170764541581624,0.006705124337772562,0.00208429347348982,0.001594132706168814
random_baseline,160,0.01784177767288406,0.029031654111248497,-0.014357825608948252,0.06914717039643664,0.07479303229642928,0.034145532129665014,0.007032234438059837,0.03313336442910084,0.010037779946201175
hvg_logreg,160,-0.05058549319590328,0.06888372158954653,-0.05416929200479508,0.05948440727622435,0.8827513409882126,0.8785827671207163,0.8738177589140914,1.0,0.9056445761716585
