method_id,n_datasets,pearson_r,spearman_r,spearman_p
DeepScena,140,-0.024569865480866912,-0.008485809101901639,0.92073568799602
cellsius,160,-0.12189026637282915,-0.04293656131733271,0.5898180937116924
scCAD,140,-0.29532456666382795,-0.2397865347640187,0.004323940923842102
scMalignantFinder,160,-0.36760873450682546,-0.3557720023567901,3.895507537056468e-06
FiRE,160,-0.2192587215636409,-0.057554608038264364,0.4697376511683615
RareQ,160,-0.18057562568340596,-0.10533290310349379,0.18496837664441912
random_baseline,160,-0.06626252029239667,0.0012402201503478962,0.9875816799058481
expr_threshold,160,-0.060501261870683276,-0.057406872298839035,0.4708804178351285
CaSee,160,-0.270923105293841,-0.285728540783234,0.00024973707625744815
hvg_logreg,160,0.06564712002224968,-0.021563657687623118,0.7866572193969817
