method_id,track_a_rank,track_b_rank,spearman_r,spearman_p
CaSee,2.0,6.0,0.04242424242424241,0.9073638178128159
DeepScena,10.0,5.0,0.04242424242424241,0.9073638178128159
FiRE,3.0,7.0,0.04242424242424241,0.9073638178128159
RareQ,7.0,2.0,0.04242424242424241,0.9073638178128159
cellsius,6.0,3.0,0.04242424242424241,0.9073638178128159
expr_threshold,4.0,9.0,0.04242424242424241,0.9073638178128159
hvg_logreg,1.0,1.0,0.04242424242424241,0.9073638178128159
random_baseline,9.0,8.0,0.04242424242424241,0.9073638178128159
scCAD,8.0,4.0,0.04242424242424241,0.9073638178128159
scMalignantFinder,5.0,10.0,0.04242424242424241,0.9073638178128159
