method_id,10x_chromium,SMARTseq2
CaSee,0.40637209583595324,0.6850639354174437
DeepScena,0.029171865093836586,0.029085165328178
FiRE,0.32903709171362533,0.7769655919107878
RareQ,0.27340415043899075,0.13566795384385233
cellsius,0.2803346075645669,0.20038875310192078
expr_threshold,0.299993899602118,0.7871806224597766
hvg_logreg,0.8957576762922915,1.0
random_baseline,0.038093897944200664,0.0315510409771053
scCAD,0.2518443208494886,0.07195094257504366
scMalignantFinder,0.3609788732381844,0.027795188850198733
