method_id,n_bootstrap,ap_mean,ap_ci_lower_2_5,ap_ci_upper_97_5,rank_observed,rank_median,rank_ci_lower_2_5,rank_ci_upper_97_5
hvg_logreg,2000,0.9989923932691014,0.9977503201739913,0.9999691539104233,1.0,1.0,1.0,1.0
CaSee,2000,0.500634800895588,0.44990173152410934,0.5468553751843483,2.0,2.0,2.0,2.0
FiRE,2000,0.36118251892923364,0.3128717739740443,0.4103973464480504,3.0,3.0,3.0,4.0
expr_threshold,2000,0.3307775143080089,0.28231092028815574,0.3813467503006645,4.0,4.0,3.0,5.0
scMalignantFinder,2000,0.31590991088892956,0.2652491651903418,0.36695871916535516,5.0,5.0,3.0,6.0
cellsius,2000,0.26342850339455454,0.2180905033150885,0.30883432076448397,6.0,6.0,5.0,7.0
RareQ,2000,0.24508171374423346,0.20020367821879412,0.28845611735216037,7.0,7.0,6.0,8.0
scCAD,2000,0.22614526681028216,0.1821066740306117,0.2721890690796877,8.0,8.0,6.0,8.0
random_baseline,2000,0.038577953795408924,0.027524096753207477,0.05450259049275599,9.0,9.0,9.0,9.0
DeepScena,2000,0.02915947941302822,0.024010448393281664,0.03396045160928054,10.0,10.0,10.0,10.0
