method_id,DeepScena,cellsius,scCAD,scMalignantFinder,FiRE,RareQ,random_baseline,expr_threshold,CaSee,hvg_logreg
DeepScena,0.0,3.009144536144668e-22,3.619171909267937e-21,3.1166651055187448e-21,1.6614344387645236e-23,1.2505012509853936e-21,0.044628707549753066,9.879920483247148e-20,1.6614344387645236e-23,1.6614344387645236e-23
cellsius,3.009144536144668e-22,0.0,0.0056311931578763965,0.11384169157908423,0.004044995861153862,0.23332667260327944,4.104934786770686e-20,0.030502985864691586,9.844684925079996e-15,2.297440153373756e-23
scCAD,3.619171909267937e-21,0.0056311931578763965,0.0,0.001963864345626408,0.00023375849521433263,0.34554062438511207,2.4403440412615855e-18,0.0056311931578763965,7.79566375484316e-16,1.7705164324732834e-23
scMalignantFinder,3.1166651055187448e-21,0.11384169157908423,0.001963864345626408,0.0,0.8306656133788747,0.024649280587273503,1.850132698628651e-18,0.43165732405397456,1.231010928961403e-09,1.7705164324732834e-23
FiRE,1.6614344387645236e-23,0.004044995861153862,0.00023375849521433263,0.8306656133788747,0.0,0.0024889090278394786,8.113761273514366e-22,0.836440307429648,6.138054480277888e-08,5.85689186508704e-23
RareQ,1.2505012509853936e-21,0.23332667260327944,0.34554062438511207,0.024649280587273503,0.0024889090278394786,0.0,2.4179964496239866e-18,0.0031924964176760153,2.2944815637047957e-16,1.7705164324732834e-23
random_baseline,0.044628707549753066,4.104934786770686e-20,2.4403440412615855e-18,1.850132698628651e-18,8.113761273514366e-22,2.4179964496239866e-18,0.0,1.1343324412357655e-17,2.701671562983175e-22,1.6614344387645236e-23
expr_threshold,9.879920483247148e-20,0.030502985864691586,0.0056311931578763965,0.43165732405397456,0.836440307429648,0.0031924964176760153,1.1343324412357655e-17,0.0,1.6946670290000822e-14,3.021208773820011e-23
CaSee,1.6614344387645236e-23,9.844684925079996e-15,7.79566375484316e-16,1.231010928961403e-09,6.138054480277888e-08,2.2944815637047957e-16,2.701671562983175e-22,1.6946670290000822e-14,0.0,1.7705164324732834e-23
hvg_logreg,1.6614344387645236e-23,2.297440153373756e-23,1.7705164324732834e-23,1.7705164324732834e-23,5.85689186508704e-23,1.7705164324732834e-23,1.6614344387645236e-23,3.021208773820011e-23,1.7705164324732834e-23,0.0
